"Date","hour","temperature","kWh"
"12/27/2014",0,39.92,56.0950433441527
"12/27/2014",1,39.92,55.6745667300422
"12/27/2014",2,41,55.9617601419536
"12/27/2014",3,41,55.5422825906165
"12/27/2014",4,39.92,54.431953387877
"12/27/2014",5,41,54.7127368645814
"12/27/2014",6,39.92,53.6189908629935
"12/27/2014",7,41,93.7025890923758
"12/27/2014",8,42.98,95.1053430842936
"12/27/2014",9,44.96,96.4318167107374
"12/27/2014",10,48.02,98.7470715173749
"12/27/2014",11,50,99.9044300736336
"12/27/2014",12,51.98,101.000097565131
"12/27/2014",13,51.8,100.078125668149
"12/27/2014",14,51.98,99.4916215832955
"12/27/2014",15,50,96.9424918285099
"12/27/2014",16,48.02,94.3883453829153
"12/27/2014",17,46.94,92.6749050343377
"12/27/2014",18,46.04,91.1389879328304
"12/27/2014",19,44.96,89.442499846405
"12/27/2014",20,44.06,50.5719881453707
"12/27/2014",21,42.98,49.6051920887289
"12/27/2014",22,44.06,49.816675711917
"12/27/2014",23,42.98,48.8643191327206
"12/28/2014",0,44.96,53.0061112789202
"12/28/2014",1,44.96,52.6087886480955
"12/28/2014",2,44.96,52.2144442639135
